Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	fulfilled	Chevalier	his promise
Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	dedicated to	a shrine	the honour of Mary
Ever since , the remaining members have been desperate for the United States to rejoin this dreadful group .	have been	the remaining members	desperate
Ever since , the remaining members have been desperate for the United States to rejoin this dreadful group .	rejoin	the United States	this dreadful group
In the U.S. , more than half the PC software sold is either for spreadsheets or for database analysis , according to Lotus .	is	more than half the PC software sold	either for spreadsheets or for database analysis
According to the United States Census Bureau , the town has a total area of , all of it land .	has	the town	a total area of , all of it land
In 1987 , Rodan became president of the American Society for Bone and Mineral Research .	became	Rodan	president of the American Society for Bone and Mineral Research
Procter & Gamble Co. recently introduced refillable versions of four products , including Tide and Mr. Clean , in Canada , but does n't plan to bring them to the U.S. .	introduced	Procter & Gamble Co.	refillable versions of four products , including Tide and Mr. Clean
Procter & Gamble Co. recently introduced refillable versions of four products , including Tide and Mr. Clean , in Canada , but does n't plan to bring them to the U.S. .	including	refillable versions of four products	Tide and Mr. Clean
Procter & Gamble Co. recently introduced refillable versions of four products , including Tide and Mr. Clean , in Canada , but does n't plan to bring them to the U.S. .	does n't plan to bring	Procter & Gamble Co.	them
Parental investment is any expenditure of resources to benefit one offspring .	is	Parental investment	any expenditure of resources to benefit one offspring
Parental investment is any expenditure of resources to benefit one offspring .	benefit	any expenditure of resources	one offspring
Earlier this year , Blackstone Group , a New York investment bank , had no trouble selling out a special $ 570 million mortgage - securities trust it created for Japanese investors .	created	it	a special $ 570 million mortgage - securities trust
The community is served by the United States Postal Service Hinsdale Post Office .	is served by	The community	the United States Postal Service Hinsdale Post Office
The second was titled `` Consider Her Ways '' and also starred Barrie as the lead named Jane Waterleigh .	was titled	The second	`` Consider Her Ways ''
The second was titled `` Consider Her Ways '' and also starred Barrie as the lead named Jane Waterleigh .	starred	The second	Barrie
The second was titled `` Consider Her Ways '' and also starred Barrie as the lead named Jane Waterleigh .	named	the lead	Jane Waterleigh
This provision met early and strong resistance from investment bankers worried about disruptions in their clients ' portfolios .	worried about	strong resistance from investment bankers	disruptions
This had considerable implications for the Welsh language as it was the main language of the nonconformist churches in Wales .	had	This	considerable implications
This had considerable implications for the Welsh language as it was the main language of the nonconformist churches in Wales .	was	it	the main language of the nonconformist churches in Wales
According to one person familiar with the airline , the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf -- has begun billing UAL for fees and expenses it owes to investment bankers , law firms and banks .	led by	the buy - out group --	United 's pilots union and UAL Chairman Stephen Wolf
According to one person familiar with the airline , the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf -- has begun billing UAL for fees and expenses it owes to investment bankers , law firms and banks .	owes	it	fees and expenses
Because patients require less attention from nurses and other staff , room charges are lower -- about $ 100 less per day than a regular room at the Vermont hospital .	require	patients	less attention from nurses and other staff
Because patients require less attention from nurses and other staff , room charges are lower -- about $ 100 less per day than a regular room at the Vermont hospital .	are	room charges	lower
Medical cooperatives , among the most successful in the U.S.S.R. , are banned from providing general - practitioner services ( their main source of income ) , carrying out surgery , and treating cancer patients , drug addicts and pregnant women .	providing	Medical cooperatives	general - practitioner services
Medical cooperatives , among the most successful in the U.S.S.R. , are banned from providing general - practitioner services ( their main source of income ) , carrying out surgery , and treating cancer patients , drug addicts and pregnant women .	carrying out	Medical cooperatives	surgery
Medical cooperatives , among the most successful in the U.S.S.R. , are banned from providing general - practitioner services ( their main source of income ) , carrying out surgery , and treating cancer patients , drug addicts and pregnant women .	treating	Medical cooperatives	cancer patients , drug addicts and pregnant women
Finally , Mitsubishi Estate has no plans to interfere with Rockefeller 's management beyond taking a place on the board .	has no plans to interfere with	Mitsubishi Estate	Rockefeller 's management
Early in the morning Mr. Sider , an estate lawyer , pores over last wills and testaments .	pores over	Mr. Sider	last wills and testaments
This engine was equipped with an electronically controlled carburetor .	was equipped with	This engine	an electronically controlled carburetor
USG Corp. agreed to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto , and will lease the 19 - story facility until it moves to a new quarters in 1992 .	agreed to sell	USG Corp.	its headquarters building here
USG Corp. agreed to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto , and will lease the 19 - story facility until it moves to a new quarters in 1992 .	will lease	USG Corp.	the 19 - story facility
USG Corp. agreed to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto , and will lease the 19 - story facility until it moves to a new quarters in 1992 .	moves to	it	a new quarters
However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .	stated	BAE Systems	it no longer produces land mines or cluster bombs
However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .	no longer produces	it	land mines or cluster bombs
A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .	had planned to offer	the company	$ 200 million of its senior subordinated reset notes
In the corporate market , an expected debt offering today by International Business Machines Corp. generated considerable attention .	generated	an expected debt offering today by International Business Machines Corp.	considerable attention
Indeed , the insurance adjusters had already bolted out of the courtroom .	had already bolted out of	the insurance adjusters	the courtroom
It said CS First Boston `` has consistently been one of the most aggressive firms in merchant banking '' and that `` a very significant portion '' of the firm 's profit in recent years has come from merchant banking - related business .	has consistently been	CS First Boston	one of the most aggressive firms in merchant banking
The Hamburg Concathedral with chapterhouse and capitular residential courts formed a `` Cathedral Immunity District '' of the Prince-Archbishopric of Bremen too .	formed	The Hamburg Concathedral with chapterhouse and capitular residential courts	a `` Cathedral Immunity District '' of the Prince-Archbishopric of Bremen
To my knowledge , no government entities , including the EPA , are pursuing UV - B measurements .	are pursuing	no government entities , including the EPA	UV - B measurements
To my knowledge , no government entities , including the EPA , are pursuing UV - B measurements .	including	government entities	the EPA
